ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-23,3571.947499224785,3410.75565187476,3674.23977629544,3571.947499224785,3571.947499224785,-21.60455295473342,-21.60455295473342,-21.60455295473342,-8.43501909819455,-8.43501909819455,-8.43501909819455,-13.16953385653887,-13.16953385653887,-13.16953385653887,0.0,0.0,0.0,3550.342946270052
2022-03-24,3570.684590499773,3421.7083975888468,3677.146558490886,3570.684590499773,3570.684590499773,-23.99960727565853,-23.99960727565853,-23.99960727565853,-10.075088241786895,-10.075088241786895,-10.075088241786895,-13.924519033871636,-13.924519033871636,-13.924519033871636,0.0,0.0,0.0,3546.6849832241146
2022-03-25,3569.4216817747615,3406.7582379290043,3670.5278879757725,3569.4216817747615,3569.4216817747615,-26.001630025007916,-26.001630025007916,-26.001630025007916,-11.600021620781693,-11.600021620781693,-11.600021620781693,-14.401608404226224,-14.401608404226224,-14.401608404226224,0.0,0.0,0.0,3543.4200517497534
2022-03-28,3565.632955599726,3413.5833161011415,3669.142530721736,3565.632955599726,3565.632955599726,-25.814884250555217,-25.814884250555217,-25.814884250555217,-11.318739975452985,-11.318739975452985,-11.318739975452985,-14.49614427510223,-14.49614427510223,-14.49614427510223,0.0,0.0,0.0,3539.8180713491706
2022-03-29,3564.370046874714,3405.59958471812,3675.5046062328274,3564.370046874714,3564.370046874714,-24.013789059229147,-24.013789059229147,-24.013789059229147,-9.81360809193753,-9.81360809193753,-9.81360809193753,-14.200180967291617,-14.200180967291617,-14.200180967291617,0.0,0.0,0.0,3540.3562578154847
2022-03-30,3563.1071381497013,3405.1623631996895,3677.52808514125,3563.1071381497013,3563.1071381497013,-22.236264894268373,-22.236264894268373,-22.236264894268373,-8.43501909823877,-8.43501909823877,-8.43501909823877,-13.801245796029605,-13.801245796029605,-13.801245796029605,0.0,0.0,0.0,3540.870873255433
2022-03-31,3561.84422942469,3399.481168093956,3670.4612133716582,3561.84422942469,3561.84422942469,-23.410571070546595,-23.410571070546595,-23.410571070546595,-10.075088241816392,-10.075088241816392,-10.075088241816392,-13.335482828730209,-13.335482828730209,-13.335482828730209,0.0,0.0,0.0,3538.4336583541435
2022-04-01,3560.581320699678,3409.2789404325654,3680.385541580808,3560.581320699678,3560.581320699678,-24.437980638279324,-24.437980638279324,-24.437980638279324,-11.600021620755006,-11.600021620755006,-11.600021620755006,-12.837959017524318,-12.837959017524318,-12.837959017524318,0.0,0.0,0.0,3536.1433400613987
2022-04-04,3556.7925945246425,3403.197729707186,3663.710246537902,3556.7925945246425,3556.7925945246425,-22.796354992351024,-22.796354992351024,-22.796354992351024,-11.31873997549186,-11.31873997549186,-11.31873997549186,-11.477615016859165,-11.477615016859165,-11.477615016859165,0.0,0.0,0.0,3533.9962395322914
2022-04-05,3555.52968579963,3404.2072106510473,3660.684002273313,3555.52968579963,3555.52968579963,-20.976765832408738,-20.976765832408738,-20.976765832408738,-9.813608091897944,-9.813608091897944,-9.813608091897944,-11.16315774051079,-11.16315774051079,-11.16315774051079,0.0,0.0,0.0,3534.5529199672214
2022-04-06,3554.2667770746184,3400.6381065938226,3661.0707908252593,3554.2667770746184,3554.2667770746184,-19.392953144885194,-19.392953144885194,-19.392953144885194,-8.435019098216886,-8.435019098216886,-8.435019098216886,-10.957934046668306,-10.957934046668306,-10.957934046668306,0.0,0.0,0.0,3534.873823929733
2022-04-07,3553.003868349607,3404.8794158839105,3663.1141593305397,3553.003868349607,3553.003868349607,-20.955634607764328,-20.955634607764328,-20.955634607764328,-10.075088241776433,-10.075088241776433,-10.075088241776433,-10.880546365987897,-10.880546365987897,-10.880546365987897,0.0,0.0,0.0,3532.0482337418425
2022-04-08,3551.7409596245943,3402.356456267321,3667.6587175247896,3551.7409596245943,3551.7409596245943,-22.54587672632687,-22.54587672632687,-22.54587672632687,-11.600021620728317,-11.600021620728317,-11.600021620728317,-10.945855105598556,-10.945855105598556,-10.945855105598556,0.0,0.0,0.0,3529.1950828982676
2022-04-11,3547.9522334495587,3398.7499081186374,3643.7864600431303,3547.9522334495587,3547.9522334495587,-23.408511807066546,-23.408511807066546,-23.408511807066546,-11.318739975515859,-11.318739975515859,-11.318739975515859,-12.089771831550687,-12.089771831550687,-12.089771831550687,0.0,0.0,0.0,3524.543721642492
2022-04-12,3546.689324724547,3397.325414809752,3657.583696548928,3546.689324724547,3546.689324724547,-22.61293279852068,-22.61293279852068,-22.61293279852068,-9.81360809197511,-9.81360809197511,-9.81360809197511,-12.799324706545569,-12.799324706545569,-12.799324706545569,0.0,0.0,0.0,3524.076391926026
2022-04-13,3545.4264159995355,3391.6026333760747,3654.179021840063,3545.4264159995355,3545.4264159995355,-22.105629308005383,-22.105629308005383,-22.105629308005383,-8.435019098195001,-8.435019098195001,-8.435019098195001,-13.670610209810388,-13.670610209810388,-13.670610209810388,0.0,0.0,0.0,3523.32078669153
2022-04-18,3539.1118723744753,3376.257459957948,3635.374537214511,3539.1118723744753,3539.1118723744753,-31.484975408118697,-31.484975408118697,-31.484975408118697,-11.31873997538903,-11.31873997538903,-11.31873997538903,-20.16623543272967,-20.16623543272967,-20.16623543272967,0.0,0.0,0.0,3507.6268969663565
2022-04-19,3537.8489636494633,3387.710015571588,3639.412959089529,3537.8489636494633,3537.8489636494633,-31.62428315127319,-31.62428315127319,-31.62428315127319,-9.813608091980464,-9.813608091980464,-9.813608091980464,-21.810675059292727,-21.810675059292727,-21.810675059292727,0.0,0.0,0.0,3506.22468049819
2022-04-20,3536.5860549244517,3386.153485098994,3638.8879455074875,3536.5860549244517,3536.5860549244517,-31.97320290390447,-31.97320290390447,-31.97320290390447,-8.435019098239218,-8.435019098239218,-8.435019098239218,-23.53818380566525,-23.53818380566525,-23.53818380566525,0.0,0.0,0.0,3504.612852020547
2022-04-21,3535.3231461994405,3369.899368276053,3631.5241345337204,3535.3231461994405,3535.3231461994405,-35.40983564154347,-35.40983564154347,-35.40983564154347,-10.07508824176125,-10.07508824176125,-10.07508824176125,-25.334747399782213,-25.334747399782213,-25.334747399782213,0.0,0.0,0.0,3499.913310557897
2022-04-22,3533.217456928087,3361.872430227406,3615.213132095764,3533.217456928087,3533.217456928087,-38.78699974616347,-38.78699974616347,-38.78699974616347,-11.60002162073722,-11.60002162073722,-11.60002162073722,-27.186978125426243,-27.186978125426243,-27.186978125426243,0.0,0.0,0.0,3494.4304571819234
2022-04-25,3526.900389114025,3357.9836329725276,3612.1853904883656,3526.900389114025,3526.900389114025,-44.279201734678935,-44.279201734678935,-44.279201734678935,-11.318739975413031,-11.318739975413031,-11.318739975413031,-32.960461759265904,-32.960461759265904,-32.960461759265904,0.0,0.0,0.0,3482.6211873793463
2022-04-26,3524.794699842671,3340.6264480775185,3618.452793769518,3524.794699842671,3524.794699842671,-44.739200084766644,-44.739200084766644,-44.739200084766644,-9.81360809194087,-9.81360809194087,-9.81360809194087,-34.92559199282578,-34.92559199282578,-34.92559199282578,0.0,0.0,0.0,3480.0554997579043
2022-04-27,3522.6890105713173,3348.5759428267174,3599.9788033204914,3522.6890105713173,3522.6890105713173,-45.334605077548886,-45.334605077548886,-45.334605077548886,-8.435019098217332,-8.435019098217332,-8.435019098217332,-36.899585979331555,-36.899585979331555,-36.899585979331555,0.0,0.0,0.0,3477.3544054937684
2022-04-28,3520.5833212999637,3330.7334822620874,3601.8032293108986,3520.5833212999637,3520.5833212999637,-48.9534625004674,-48.9534625004674,-48.9534625004674,-10.075088241790747,-10.075088241790747,-10.075088241790747,-38.87837425867666,-38.87837425867666,-38.87837425867666,0.0,0.0,0.0,3471.629858799496
2022-04-29,3518.4776320286096,3330.2223312166534,3594.963684596094,3518.4776320286096,3518.4776320286096,-52.45976863844347,-52.45976863844347,-52.45976863844347,-11.600021620710534,-11.600021620710534,-11.600021620710534,-40.859747017732936,-40.859747017732936,-40.859747017732936,0.0,0.0,0.0,3466.017863390166
2022-05-02,3512.1605642145482,3324.8958857089206,3579.5770838183826,3512.1605642145482,3512.1605642145482,-58.14137138573014,-58.14137138573014,-58.14137138573014,-11.318739975451903,-11.318739975451903,-11.318739975451903,-46.822631410278234,-46.822631410278234,-46.822631410278234,0.0,0.0,0.0,3454.019192828818
2022-05-04,3507.949185671841,3314.851238727914,3582.3078719877553,3507.949185671841,3507.949185671841,-59.275486075447084,-59.275486075447084,-59.275486075447084,-8.435019098233102,-8.435019098233102,-8.435019098233102,-50.84046697721399,-50.84046697721399,-50.84046697721399,0.0,0.0,0.0,3448.673699596394
