Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility
2020-01-06,2205.0,2225.949951171875,2187.89990234375,2200.449951171875,3023209,2151.887481689453,2140.3050048828127,-9.086005532366048e-05,0.015910065128199292
2020-01-07,2200.5,2214.64990234375,2183.800048828125,2205.85009765625,2429317,2159.1574890136717,2141.9230078125,0.0024541101157511402,0.014062102588733449
2020-01-08,2205.0,2260.0,2202.050048828125,2255.25,5197454,2171.277490234375,2144.7140087890625,0.022394949863654867,0.013183327055476483
2020-01-09,2248.75,2251.949951171875,2210.0,2214.35009765625,3734173,2179.8999938964844,2145.1040087890624,-0.018135418398736336,0.014042183521116514
2020-01-10,2228.0,2234.0,2208.0,2213.550048828125,1915807,2189.5324951171874,2144.3190087890625,-0.00036130186864846703,0.013675657271145393
2020-01-13,2217.85009765625,2218.949951171875,2184.699951171875,2190.35009765625,2843893,2195.4875,2142.7330126953125,-0.01048087942902276,0.013197243567669393
2020-01-14,2195.0,2229.800048828125,2195.0,2206.89990234375,2948452,2199.4949951171875,2142.8530126953124,0.0075557805600159345,0.01201016886063413
2020-01-15,2213.0,2231.0,2194.199951171875,2226.89990234375,2620681,2202.592492675781,2143.51201171875,0.009062486240884793,0.011540202415699006
2020-01-16,2226.949951171875,2249.0,2215.0,2238.800048828125,3117214,2206.1449951171876,2144.2510107421876,0.0053438174171414055,0.011572353664936271
2020-01-17,2240.75,2253.550048828125,2213.0,2219.10009765625,3281059,2205.647497558594,2144.8630126953126,-0.008799334796417702,0.009941564774218016
2020-01-20,2194.89990234375,2242.199951171875,2156.199951171875,2170.35009765625,5817599,2203.0200073242186,2144.5630126953124,-0.02196836458683782,0.011068233330246265
2020-01-21,2169.949951171875,2186.550048828125,2158.050048828125,2171.050048828125,1902980,2199.987512207031,2145.3850146484374,0.00032250611209261315,0.011009825887303778
2020-01-22,2181.0,2210.0,2173.699951171875,2206.89990234375,1773686,2199.5525024414064,2147.504013671875,0.016512679445126466,0.011603504714323433
